Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
ìsto	questo
rìa dù	ne arrivano altri due
rìa i óter	ne arrivano altri
rìa töc	arrivano tutti
e Rośalba i l'à troàda negü	ma nessuno aveva trovato Rosalba
alura lü 'l capo 'l fà:	così il capo dice:
— ah ma chèsta la ma scaperà miga	— non ci scapperà
o a öna fòśa o a l'ótra	o in un modo o nell'altro
am 'narà amò a töla!	andremo a prenderla ancora!
alura	allora
al ga dìh isé öna matìna:	un mattino il capo dice:
— óter encö	— oggi voi
'nì a edì he püdì tò dù carèc	andate a cercare due carretti
e 'sta nòt	e questa notte
'narì a robài	andrete a rubarli —
incö 'nì a edì he i vedì quàch bande —	oggi se li vedete da qualche parte
lùr del dé à giràt	loro han girato di giorno
in sà e glià	in qua e in là
fìn che i à 'este dù carèc	finché han visto due carretti
e la nòt	e di notte
è 'nàc a robài	sono andati a rubarli
— ölel fàn chè sciùr ché dèi carèc?	— cosa vuol fare signor capo dei carretti?
— ghe l' diśeró dòpo chèl che ói fàn	— ve lo dirò dopo quello che voglio farne
dòpo	poi
'l segónt dé 'l ghe dìs:	il secondo giorno dice:
— adèh — al dìs —	— adesso — dice —
encö	— oggi
'm edì he edì dói bòte	andate a cercare due botti
ma 'm pó grande	un po' grandi
e 'sta nòt	e questa notte
biśógna 'nà robale —	dovrete rubarle —
gliùra lùr del dé i gira d'öna banda e l'ótra	allora loro hanno girato da una parte e dall'altra
i va det en 'öna cantina cóla scüśa de 'nà a fà ergót	sono entrati in una cantina con la scusa di fare qualcosa
fina che	finché
i à 'ste bòte che ga ucurìa	hanno visto le botti che servivano
e ala nòt	e di notte
i è 'nàc	sono andati
a robale	a rubarle
tèrsa matina	la terza mattina
al ga dìs:	il capo dice:
— béh	— beh
encö	oggi
'nì a edì	andate
he troé ca-ài	a cercare due cavalli
e 'sta nòt	e questa notte
'narì a robài	li ruberete
— ölel fàn chè de dù ca-ài?	— cosa vuol fare di due cavalli?
— 'l dìs — adès	— dice — adesso	
la prima nòt fósca che 'é fò	— la prima notte buia che ci sarà
che gh'è miga lüna	senza luna
am và a tö Rośalba	andremo a prendere Rosalba
— ölel fà come sciùr capo?	— come vuol fare signor capo?
— ah — dìh —	— ah — dice —
em pó — 'l dìh — i và dét en ne bòte	— un po' entrerete nelle botti
le bòte 'm ge söi carèc	metteremo le botti sui carretti
e 'n dù m'istà fò a guidà i ca-ài	e in due guideremo i cavalli
e dopo	poi
speróm che mulinér al ma làhes 'nà de déter fò 'n cà	speriamo che il mugnaio ci lasci entrare in casa
de lé e póche nòc	dopo poche notti
l'è 'gnìt fò la nòt fósca	è arrivata quella buia
e alura	allora
è partìc	sono partiti
em pò	un po'
è 'nài déter en ne bòte	sono entrati nelle botti
i gi à herài dét	rinchiusi dentro
e dù	e due
i guidà-a i ca-ài	guidavano i cavalli
quàndo i rìa lé	quando sono arrivati
'ndo gh'è 'l mulì	al mulino
ol mulì 'l rèsta śó 'm pó giöna cónca	che si trovava come in una conca
e ì gh'à la halida de fa	c'era una salita da fare
e lùr i ghe tegnìa hàlt la ai ca-ài per tegnì-i 'ndré	loro tenevano la briglia ai cavalli per trattenerli
i vülìa mìa ch'i 'nèh a-ànte	non volevano che andassero avanti
e pò i vuśà-a i fà-a finta che i ca-ài i vülìa mìa partì	e gridavano facevano finta che i cavalli non volessero più camminare
fina che 'l mulinér	finché il mugnaio
stàt lé pó e po'	dopo un po'
a l'è 'gnìt sà ala finèstra, 'l ga dìh:	si è affacciato alla finestra dicendo:
— ói caretér	— carrettiere
gh'ìs de uśà tàt?	cosa avete da gridare tanto?
— ah — 'l dìs — madóna — 'l dìs —	— madonna
l'è tré dé che 'm gira	giriamo da due o tre giorni
che 'm và là	che andiamo in là
e 'm gh'à che i ca-ài pròpe stöf e i völ miga fà hö la rata! —	e abbiamo i cavalli davvero stanchi non vogliono fare la salita! —
al dìh: — ói de gnì śó a 'mprestà ol mé ca-alì de tacà de-ànte	il mugnaio dice: — devo prestarvi il mio cavallino da attaccare davanti
a fà hö la rata?	per fare la salita?
— nò — 'l dìs — , varde — 'l dìs — i è tròp estöf — al dìh —	— no guardi, sono troppo stanchi
anche dòpo fàt sö rata	anche dopo la salita
'nsöma — 'l dìh —	insomma — dice —
i ghe la fà piö	non ce la farebbero più
se 'l ma dèh l'alògio , sarès piö mèi	se ci desse alloggio sarebbe meglio
e lü alùra	così lui
'l và śó	scende
'l ga dèrf ol purtù	apre il portone
e i vé de dét cói ho carèc dopo	loro entrano coi carretti poi
i ghe dìh:	gli dicono:
— madóna — 'l dìh —	— madonna
e 'm sè che a' famàc al dìs —	siamo anche affamati
mórt de fàm!	morti di fame!
— alura — 'l dìh —	— allora
hà che ciàme la s-cèta	chiamo mia figlia
che la 'é śó a faga ergót de mangià —	lei scenderà e vi farà qualcosa da mangiare —
alura	allora
lü 'l và hö	il mugnaio sale
'l la ciàma: — Rośalba 'é śó che gh'é che dù caretér	la chiama: — Rosalba scendi che ci sono due carrettieri
te ga fé ergót de héna! —	prepara loro qualcosa da cena! —
lé la 'é śó ma	lei scende
l'éra 'm pó guardinga	era un po' guardinga
la gh'éra pórå	aveva paura
e l'à dìt: « cóme mài ol mé bubà l'à lahàt 'gnì de déter?...	ha pensato: «chissà come mai mio papà li ha lasciati entrare!
al valsa le müre	alza le mura
'l renfórsa le pórte po'	rinforza le porte, poi
'l ge laha 'gnì de dét lü!... »	li lascia entrare! »
ma lé	ma lei
l'è 'gnida śó	è scesa
'n camiśa de nòt ensóma	in camicia da notte
e quàndo la rìa śó	quando è arrivata
lé perchè la i ìa ès' töc	dato che lei li aveva visti tutti
a à cunuhìc	li ha conosciuti
l'à dìt: « chèi ché è dù lader!	ha pensato: « questi sono due ladri!
adès cóme fói? »	adesso come faccio? »
alura lé l'à 'nvi-àt sö 'l föch	allora ha acceso il fuoco
metìt so 'l perülì	attaccato il paiolo
e pò la ga dih al sò papà:	e poi ha detto al padre:
— fì 'l piacére a fà lüs	— fatemi il piacere di tenere acceso
che mé	io
'nó hö a estìm sö	vado a vestirmi
perchè hó egnida de hóta isé a frèha	perché sono scesa in fretta
e 'nó hö almeno a petinàm	vado almeno a pettinarmi —
e estìm sö — fé lü 'l sò papà 'l ga dìs:	il padre ha detto:
— hé hé	— sì
pènse mé	ci penso io
lé al pòs' de nà de hura a estìs sö	invece di salire a vestirsi
l'è 'nada śó	lei è scesa
e secóme la gh'ìa 'l söspèt che	e siccome aveva il sospetto che
anche le bòte le hé-es miga stade piéne de 'ì ma	anche le botti non fossero piene di vino, ma
de persune	di persone
la 'à fò, l'à picàt déter con d'öna mà	va là, picchia su di una
per varda he la rebombà-a	per provare se rimbombava
e alura chèi fò dét i ghe dìs:	allora quelli dentro dicono:
— àm de 'gnì fò?	— dobbiamo uscire?
— nò nò ferméf amò ö momènt —	— no, fermatevi ancora un momento —
lé la 'à fò na stala	lei va in stalla
la ciàpa 'l ca-alì de córsa	prende il cavallino che corre
la mónta a ca-àl e vìa	monta in groppa
a 'nà 'n paìs	va in paese
a iśà i cavrignér	ad avvisare i carabinieri
pò la 'é 'n sa	poi ritorna
la turna a metì dét ol sò ca-alì po'	rimette il cavallino nella stalla
la 'à de hura ala śvèlta	sale in fretta
a estìs sö, pò la 'é śó:	a vestirsi, poi scende:
— madóna i ma scüśera tànt nèh	— mi scuseranno tanto
ha hó stada vià 'm pìl tànt	se sono stata via un bel po'
tanto gh'éra ché 'l mé papà	tanto c'era mio padre
che fà-a lüs sö 'l föch	che teneva acceso il fuoco
— nò fà niènt	— non fa niente
öh gh'è tép per l'öltema nòt! —	c'è tempo per l'ultima notte!
óter	altro
e i cavrignér i è 'gnìc	sono venuti i carabinieri
anche 'm pó de holdàc	anche un po' di soldati
e à hercondàt la cà prima	prima hanno circondato la casa
e 'n gruppo	poi un gruppo
i h'è portài söl purtù	s'è messo sul portone
e quater	e quattro
e i nà-a de hura per ciapà chèi dù che gh'éra hö 'n cuśìna	sono saliti di sopra per prendere quei due che erano in cucina
però lùr i gh'ìa dìc: — nóter em picherà ala porta	ma avevano detto: — noi busseremo alla porta
'm farà finta de pica ala porta	così fingeremo
e 'm va diśerà che 'm sè contrabandér	vi diremo che siamo dei contrabbandieri
e ó' fì finta de 'gnì śó a dervìm —	e voi fingete di venire ad aprirci —
alura	allora
isé i à fàt	così hanno fatto
la hét che i pica ala porta	lei ha sentito bussare alla porta
e:	e ha detto:
— chi pica?	— chi bussa?
— am sè dà contrabandér	— siamo due contrabbandieri
gh'ìf miga l'alóśgio per 'està nòt? —	non avete alloggio per questa notte? —
lùr i dù lader i hpehéga a diga:	i due ladri si sono affrettati a dirle:
— nò 'l lahe mìa 'gnì dét i contrabandér	— non lasci entrare i contrabbandieri
perchè i contrabandér gh'è miga tàt de fidàs! —	perché di loro non c'è tanto da fidarsi —
e lé la ga dìs:	ma lei ha detto:
— madóna fórse i sarà anche famàc a' lùr	— madonna, forse saranno affamati anche loro
śà che hó dré a faga 'l mangià per lùr	già che sto preparando da mangiare
'n fó 'n pìl de piö, i mangia magare	ne faccio un po' di più, magari ne mangiano
'n piàt a' lùr —	un piatto anche loro —
e po' lé la gh'à miga	non ha
spetàt rispòsta e l'è 'nada	neppure aspettato la risposta
l'à fàt finta de 'nà de hóta a 'nà a derviga	ed è scesa fingendo di aprire
pò la 'é hö	poi torna
lé la ha mèt dré a fà la hò pastahöta	si mette a fare la pastasciutta
e menemà 'ste dù contrabandér i vé de hura	e i contrabbandieri vengono di sopra
e i gh'à 'l füśìl	hanno il fucile
e lùr i lader i ghe dìs:	i ladri dicono:
— cóme mài óter cuntrabandér sì armàc?	— come mai voi contrabbandieri così armati?
— ah 'm gh'à pórå dèi cavrignér nóter, se 'm sa 'ncuntra déter magare	— abbiamo paura dei carabinieri, se li incontriamo
i ma fà quàch eschèrs o isé	e ci fanno qualche scherzo
ah — 'l dìh — em ga spara öna...	spariamo
— ah — 'l dìh — ma hömèa miga öna ròba giösta —	— non ci sembra una cosa giusta —
i ga dìh lùr i lader	dicono i ladri
óter	altro
htà lé amò ö moment a cöntàla hö, lùr i và fò ala finèstra, i fà śgrìngà 'l grilèt	sono rimasti ancora un po' a parlare, poi i carabinieri sono andati alla finestra, hanno fatto scattare il grilletto
e i éra decórde coi óter	erano rimasti d'accordo
che quàndo i nà-a fò lùr i simà-a hö in stansa	che quando loro fossero saliti nella stanza
e i ciapà-a chèi dù hölé	a prendere quei due
e i óter	gli altri
i nà-a hura le bòte	sarebbero andati sopra le botti
per tira fò	per tirare fuori
chi che gh'éra dét	quelli che erano dentro
e alura	e allora
lùr i ga dìs:	i ladri dicono:
— ma...	— ma...
fìf eśgringà 'l grilèt del füśìl a fà?	perché fate scattare il. grilletto del fucile?
— ma isé per vardà perché nóter em völ vèher sigür dèla nòsta arma —	— perché noi vogliamo essere sicuri della nostra arma —
'ta 'l bèl che à dìt issé	intanto che diceva così
i cavrignér è himài de déter	altri quattro carabinieri
amò quater	sono entrati
a ciapà chi dù lé	a prendere i due ladri
e i óter śó hóta	e gli altri
cavrignér e holdàc	carabinieri e soldati
töi söle bòte	sono corsi sulle botti
à trà d'fò töt chi che gh'éra dét en ne bòte	a tirar fuori tutti quelli che erano nascosti
e pò lé i gi à menài fò 'n piàha	poi li hanno portati in piazza
e i gi a brüśài töc	e li hanno bruciati tutti
fàt ü bèl falò	hanno fatto un bel falò
i gi à brüśài töi quaranta	li hanno bruciati tutti e quaranta
e la stòria l'è finida	e la storia è finita
A gh'éra	C'erano
ol Signùr	il Signore
e Sàn Piéro	e San Pietro
éra pròpe sèmper insèma	erano proprio sempre insieme
al và	vanno
dré ala strada	per una strada
öm bèl dé	un giorno
madóna gh'éra fò ön sùl!	splendeva il sole
— madóna adèh cóha 'm fài ché 'ssé?	— cosa facciamo adesso?
— 'm và e 'm fà ö śgirèt	— andiamo a fare un giretto
am paha de lé —	passiamo di là —
l'è hà öna fómna töta disperada	arriva una donna disperata
la gh'ìa 'l sò òm malàt	aveva il marito ammalato
e i gh'éra 'l formét che bisognà-a teàl sö	e dovevano tagliare il frumento
perchè 'l crodà-a	perché era maturo
igliùra 'sta fómna la ga dìh:	allora quella donna dice:
— óter garantòm	— galantuomini!
pöderèhef mìa egnì	non potreste venire
öna giornada o dù	per un giorno o due
a teàm sö 'l formét? —	a tagliarmi il frumento? —
Piéro	Pietro
l'éra hèmper négher de fàm lü	era sempre nero di fame
'l baià-a hèmper de maià	parlava solo di mangiare
e bìf:	e bere:
— diga de sé! —	— dille di sì —
al ga dìh	dice
Hàn Pièro al Maèstro	San Pietro al Maestro
— varde	— guardi
ma pórte hà de maià e de bìf	ci porti tanto da mangiare e da bere
tànt	tanto
e dù u trì solfanèi	e anche due o tre fiammiferi
lé l'è 'ndacia a cà	lei è tornata a casa
e la ga dìh al sò òm:	e ha detto a suo marito:
— pènsa	— pensa
che ó ciapàt dà òm	ho trovato due uomini
e i m'à dèc ch'i ma tèa hö 'l formét	e mi hanno detto che ci tagliano il frumento
però i völ de maià e de bìf	però vogliono da mangiare e da bere
cópega fò chèl	— madonna, per carità!
pórtega chèl	portaglieli
a' ca 'l gh'è śgió a' i salàm in cantina	ci sono anche i salami in cantina
pórteghei śó	porta quell'altro
basta ch'i ma tè-e hö 'l formét!	basta che ci taglino il frumento!
— i m'à dìc de tö dré a' i solfanèi...	— mi han detto di portare anche i fiammiferi
— potà — 'l dìh — i vorà fà öna pipada — 'l dìh	— si vede che vorranno fare una pipata
'ssé i à fàc	così
l'è 'ndacia là 'sta fómna	questa donna è tornata
con dù o tré fagòc	con due o tre fagotti
e Piéro:	e Pietro pensa:
« che maiàda — 'l dìh — adèh — al dìh — al rìa — 'l dìh —	« che mangiata! adesso arriva
lé 'l ghe n'è! »	ce n'è tanto! »
e 'l Signùr al ga dìh:	il Signore le chiede:
— 'ndo mètela	— dove dobbiamo mettere
ol formét?	il frumento?
— eéh fà negóta	— eh non fa niente
'l la lase che i cöe	lasciate qui i covoni
che ciaperó ö carèt	prenderò un carretto
hircherà de portàl a cà	cercherò di portarli a casa
— nò nò — 'l dìh —	— no
l' ma dighe 'ndo i la mèt —	mi dica dove metterlo —
lé la gh'à déc:	lei ha risposto:
— mé gh'ó hö öna stanha, 'l mète d'dét lé	— io ho una stanza, lo metto là
ol gaér	la pula
'n del tàl post	nel tal posto
la pàia 'n del tal post	la paglia nel tal'altro
lé l'è 'ndacia a cà, «chi sà pò... »	lei è andata a casa: « chissà... »
— e 'ssé	e così
héi metìc dré?	— hanno cominciato?
— nò nò — la dìh — i h'è mìa metìc dré	— no, non ancora
i è dré ch'i màia —	stanno mangiando —
e lü Piéro	Pietro
che maià ca l'à fàc!	ha mangiato tanto
a l'à fàc a' ö hónch dòpo lü èh	poi ha fatto anche un sonnellino
e lü gliùra	e il Signore allora
quàndo ch'i à maiàt bén pulito e bi-ìt	quando hanno ben mangiato e bevuto
tàchete!	tachete!
l'à 'mpiàt dét ol hò holfanèl	ha acceso il frumento con un fiammifero
ol formét l'è 'ndài d'öna banda	e il frumento è andato da una parte
ol gaér l'è 'ndài da on'ótra	la pula da un'altra
e la pàia de l'ótra	e la paglia da un'altra ancora
— madóna per carità	— madonna per carità!
— 'l ga dìh ol hò òm —	— le dice il marito —
ma ché — 'l dìh —	ma cosa — dice —
l'è ö miràcol! — al dìh —	questo è un miracolo!
haràl mìa chèl Divìn Maèstro ch'i na parla?	non sarà quel Divin Maestro di cui parlano?
— mah! —	— mah! —
óter, l'è 'ndacia bé	è andata bene
lùr i và là 'm pó	vanno avanti un po'
i camina amò	camminano ancora
Piéro	Pietro
al coménha amò a iga fàm	comincia di nuovo ad aver fame
l'éra hèmper négher id fàm	era sempre nero di fame
e 'l ga dìh ol Signùr:	e il Signore gli dice:
— té — 'l dìh —	— te — dice —
Piéro	Pietro
arda — 'l dìh —	guarda
té	tu
to 'ndé dhó de 'sta stràda	andrai da questa strada
e mé, 'ndó de l'ótra	e io da quell'altra
an sa ederà	ci vedremo
śó 'n fónt —	laggiù in fondo —
'l và	lui va
e 'l vé öna fómna a' de lü:	ed arriva una donna anche da lui:
— madóna garantòm	— galantuomo!
pöderèhel mìa	non potrebbe
egnì ö dé a giornada?	venire a lavorare a giornata?
gh'ó che 'l formét che l'è marüt	ho il frumento maturo
e gh'ó 'l mé òm malàt	e mio marito è malato
— öh perchè nò ? — 'l dìh —	— oh perché no?
sé sé sé sé — 'l dìh —	sì sì sì sì — dice —
ma pórte śó de maìà e de bìf — al dìh — che	mi porti da mangiare e da bere che
mète mé apòst! — al dìh	sistemo io
l' gh'à portai śó de maià e de bìf	gli ha portato da mangiare e da bere
— pò a' dù u trì holfanèi — al dìh	— anche due o tre fiammiferi —
e lé la h'è metìt a' lé 'n dol có:	pure lei s'è messa in testa
« h'vèt che 'l völe fà öna fömàda »	« si vede che vuol fare una fumata »
quàndo ca l'à maiàt bén pulito	quando ha mangiato per bene
al gh'ìa òia a' de fà a' la hò hògn lü Hàn Piéro	aveva anche voglia di fare il suo sonnellino
« potà — 'l dìh — ma prima — 'l dìh —	« prima
'mpì-e dét che 'ssé 'ntàt che lù 'l và töt apòht	accenderò il frumento, così intanto che va tutto a posto
mé — 'l dìh — fó öm bèl hògn »	io farò un bel sonnellino »
l'empì-a dét	appicca il fuoco
frrr!	frrr!
töt öna fiàma!	sale tutta una fiammata!
töt ol paìh al vedìa töt öna fìàma	al paese vedevano tutto questo fuoco
i è 'gnìt töta la śét, i l'à brancàt	è venuta tutta la gente, l'hanno preso
'isto Piéro	questo Pietro
e i ghe n'a dai śó tate de chi bòte	gli han dato tante di quelle botte
che l'éra töt négher de bòte	che era diventato tutto nero
pò i l'à metìt in preśù	l'hanno messo in prigione
e töta 'sta śét	e tutta la gente
de 'sto paìh	del paese
on manicòmio	era in subbuglio:
— ét hentìt cóha l'à fàc?	— hai sentito cosa ha fatto?
— gh'è pahàt ön òm	— è passato un uomo
l'à 'mpi-àt dét	ha acceso
a l'è brüśàt töt ol formét!	è bruciato tutto il frumento!
— che dàn che l'à dàc!	— che danno ha causato!
— che berechì!	— che birbone!
— condannato a mòrte!	— condannato a morte!
'l va là 'l Signùr	va il Signore /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / 
lü la 'l sìa	lui sapeva tutto
— cóha fài ché?	— cosa succede qui?
— öh chèl lé l'è ö berechì	— quello è un birbone
l'à brüśàt töt ol formét! —	ha bruciato tutto il frumento! —
e là 'l ga dìh ol Signùr:	il Signore dice:
— al perdunerèhet mìa — 'l dìs — se óter — al dìh —	— non lo perdonereste se
al vé hö amò töt ol vòs' formét?	crescesse ancora il vostro frumento?
— öh — 'l dìh —	— oh — dice —
ma 'l perduna po' 'ssé — 'l dìh — ma	— certo che lo perdoneremmo
basta ca 'l vègne sö	basta che cresca
— sé sé — 'l dìh	— va bene —
de lé ön àtimo 'l Signur	un attimo dopo il Signore
e 'l ga dìh	dice
ala śét che gh'éra lé:	alla gente:
— 'ndì 'n del vòs' càp — al dìh —	— andate nei vostri campi
che ederì	vedrete
che ga harà hö 'l formét —	che ci sarà il frumento —
e 'nfati 'l Signùr al ghe l'à fài vegnì hö	infatti il Signore lo ha fatto crescere
a' ö falì piö 'ndré che 'ssé	e non ancora del tutto maturo, così
'l gh'ìa pò tép de marüdà amò ö halì	aveva tempo per maturare ancora un po'
pötàna lü Piéro	allora Pietro
'l h'è troàt pentìt	s'è trovato pentito
— perchè — 'l dìh — fét chi laùr lé?	— perché fai queste cose? —
— 'ta — 'l dìh	— pota — dice
mìa gna' là	non lo sapeva neanche lui
è 'ndài là	sono andati là
amò ö dé o dù, i paha fò	trascorsi ancora un giorno o due
e gh'éra ön egiahì che l'è lé che 'l barlafüśina	e c'era un vecchietto che si dava da fare
al ga dìh ol Signùr:	il Signore gli dice:
— cóha fét ché? — 'l dìh	— cosa fai?
— madóna mé — 'l dìh —	— madonna!
gh'ó héh ih-cèc — al dìh —	ho sei figli
ma i è tüc ihpuśac — al dìh —	ma sono tutti sposati
e potà merèh daghne mé — al dìh — a lù	dovrei darne io a loro
ma cóma fói? — al dìh —	ma come faccio?
mé — 'l dìh — ha ói maià ö michèt — al dìh —	se voglio mangiare un pane
mè che laùre amò — 'l dìh	devo lavorare ancora
— ah sé? — 'l ga dìh ol Signùr —	— ah si? — gli dice il Signore —
metì hö tànt carbù — 'l dìs — söla füśìna —	mettete tanto carbone nella fucina —
e lü 'l n'à metìt sö	lui ne ha messo
e gh'ìa lé 'm pó de fèr de batì:	e aveva un po' di ferri da battere
— eéh mète sö tànt de 'sto carbù	— va bene, ne metto tanto
ön bèl föch!	un bel fuoco!
ol Signùr ciàpa 'sto egiahì	il Signore prende questo vecchietto
e pò mètel sö	e lo mette sul fuoco
pàm pàm pàm!	pam! pam! pam!
tri martelade	tre martellate
a l'è 'gnìt lé ön óm de hinquant'àgn	ed è diventato un uomo di cinquantanni
« òhtrega! — 'l dìh »	« ostrega! »
Piéro l'istà-a lé	Pietro
de dét de lü:	diceva tra sé
« al fó pò a' mé chèl lé èh! »	« questo lo faccio anch'io! »
óter	altro
ala séra	alla sera
al vé 'l ho s-cèt	viene il figlio
a troàl:	a trovarlo:
— ma...	— ma...
'ndo él ol mé tata?	dov'è mio padre?
— 'mè 'ndóe l'è 'l tò tata? — 'l dìh —	dov'è mio padre?
a só mé! — 'l dìh	— sono io
— ma...	— ma...
ma gh'ét mìa ö töchèl de hpèc? — al dìh	— ma non hai un pezzo di specchio?
— perchè? — 'l dìh	— perché?
— àrdega cóma to hé — 'l dìh —	— guarda come sei!
ma che manéra hét vegnìt issé?	perché sei diventato così? / — sento di avere più forza —
che manéra?	in che modo?
— hènte mé — 'l dìh — ca gh'ó piö tanta fòrsa...	— sento di avere più forza —
— lü 'sto egiahì a picà —	diceva il vecchietto mentre picchiava
só mìa mè — 'l dìh — l'è pahàt ön óm —	— io non so, è passato un uomo —
e lü l'à dèc: — saràl mìa	il figlio ha detto: — non sarà
ol Divìn Maèstro ch'i na parla?	il Divin Maestro di cui parlano?	
— mah	— mah
mé — 'l dìh — l'ó piö èst —	io non l'ho più visto —
potà lé töc a parlà:	tutti dicevano:
— àrdega ché cóma l'è 'gnìt chèl òm lé! —	— guarda com'è diventato quell'uomo!
óter	altro
e i và	vanno
paha śó	
ol Signùr al ga dìs:	e il Signore dice:
— té pasa śó amò de ché	— tu avviati per di qua
e mé pasę śó 'n fónt	io andrò di là
de ché a ön'ùra o dù	fra un'ora o due
'm sa ederà śó 'n fónt —	ci vedremo in fondo —
'hto Piéro	Pietro
'l paha śó de lé	va da quella parte
e 'l vèt a' lü 'sto egiasì	e anche lui vede quel vecchietto
— 'l fà-a per faga i próe 'l Signùr —	— il Signore faceva per metterlo alla prova —
— cóha fìs che omahì?	— cosa fate qui ometto?
— ah mé 'l ma tóca laurà perchè — 'l dìh —	— devo lavorare perché
a gh'ó negóta — 'l dìh — de mangià — 'l dìh —	non ho niente da mangiare
he pöde ciapà ö michèt — al dìh — alméno — 'l dìh — fé laùre — 'l dìh —	per poter almeno prendere un pane e lavoro
a hó ché	sono
éh ma hó stöf — al dìh —	davvero stanco
hó stöf de laurà!	di lavorare!
— va range mé — 'l dìh —	— vi metto a posto io
metì hö — 'l dìh —	mettete
höla füśina	sulla fucina
metì hö tànt carbù	tanto carbone
ca ederì — 'l dìh — che	poi vedrete
va range mé — 'l dìh	che io vi sistemo
potàna!	puttana!
là i à fài tànt föch	hanno fatto tanto fuoco
ai à metìt sö 'sto egiahì	ci hanno messo sopra il vecchietto
ma ùh che 'l cahà-a fò!	quello gridava
madóna che ùh! tüc i curìa:	madonna quanto gridava! tutti correvano
— madóna cóha fàl?	— cosa fa?
— chèl lé l'è màt	— quello è matto! —
chèl lé l'è màt! —	— quello è matto! —
gh'è ri-àt töta la śét de 'sto paìh	è arrivata tutta la gente del paese
i l'à ciapàt	hanno preso Pietro
i ghe n'à dai śó asé a 'sto Piéro	gliene hanno date un sacco
l'éra töt morèl	era pieno di lividi
l'ó éht mè	io l'ho visto
töt morèl l'éra	era proprio pieno di lividi
— madóna cóha ga ègnel in mènt a chèl òm lé a fà chi laùr lé? —	— madonna, cosa salta in mente a quell'uomo di fare queste cose? —
poarì töt ò carbunì l'è 'ndàt	poveretto, è rimasto tutto carbonizzato!
lé i ghe n'à dàc ahé	gli han dato
tante de chi bòte	tante di quelle botte
potà	pota
e lé ì la mèt amò 'n preśù	e l'hanno messo ancora in prigione
ol Signùr	il Signore
al và	passa
'l vèt che töt ol paìh l'è töt ö subuglio	vede che tutto il paese è in subbuglio
— ada che delinguént!	— guarda che delinquente!
— al gh'à de fa ö laùr compàgn?	— deve fare una cosa simile?
— póer egiahì	— povero vecchietto
l'è mórt carbuniśàt! —	è morto carbonizzato!
potà e lü 'l và là	pota lui va là
'l paha	arriva
'l và d'dét ol Signùr	entra il Signore
Piéro l'è lé	Pietro è
töt pié de bignòche	tutto pieno di bernoccoli
töt fahàt sö	tutto fasciato
'l ga arda	lui lo guarda
ol Signùr al gh'à ardàt in dol cör che 'l h'éra troàt pentìt	il Signore gli ha letto nel cuore che era pentito
— cos'àl fàc?	— cosa ha fatto?
— l'è ö delinguént	— è un delinquente
l'à fài metì sö höl föch mé pader	ha messo sul fuoco mio padre
e l'è 'ndài töt a carbù	che è diventato tutto un carbone
ùh che 'l cahà-a fò	e come gridava
l'à fàc öna mòrt màrtire! —	ha fatto una brutta fine! —
'l Signùr l'à ardàt in ària:	il Signore ha guardato in aria:
— ga perdunerèset mìa óter a 'sto òm ché	— non perdonereste quest'uomo
he 'l gh'èh de 'gnì amó al mónt vòh' pader?	se dovesse tornare ancora al mondo vostro padre?
— eéh nóter ma l' perduna pò 'ssé	— certo che lo perdoneremmo
ca 'l vègne amò al mónt cóma l'éra pò èh! —	basta che tomi al mondo ancora com'era prima —
htài lé 'm pò a penhà hö 'l Signùr	il Signore è rimasto un po' a pensare
pò 'l ga dìh:	poi ha detto:
— 'ndì fò	— andate
'n del hò pòht che 'l harà là amò —	nella fucina, lui sarà là ancora —
ma prima de lahàl indà	ma prima di lasciare andare Pietro
lù i vülìa accertàh, i è 'ndài fò 'n del hò post	loro volevano accertarsi, sono andati in quel posto
menemà 'l gh'éra là amò 'sto egiahì che 'l picà-a	e infatti c'era ancora quel vecchietto che picchiava
tìnch!	tìnch!
tìnch!	tìnch!
tìnch!	tìnch!
miràcol!	miracolo!
'l ve d'fò Piéro töt...	Pietro esce di prigione /  /  /  /  /  /  /  /  /  /  /  /  /  /  / 
— ma coś'ét fàc?	— ma cos'hai fatto?
perchè fét chi laùr lé?	perché fai queste cose?
— pòta Divìn Maèstro — 'l dìh —	— Divin Maestro
ó hbagliàt — al dìh	ho sbagliato —
'ndàt là 'm pò de dé	trascorsi un po' di giorni
'l fà-a per faga i próe	faceva per metterlo alla prova:
— té Piéro — 'l dìh —	— Pietro
a 'ndarèhet mìa ontéra ö quàch dé — 'l dìh — ala tò cà?	non andresti volentieri a casa tua per qualche giorno?
— ah Divìn Maèstro — 'l dìh — èh	— ah Divin Maestro
he 'l ma laha 'ndà — 'l dìh —	se mi lascia
a 'ndarèh pròpe ontéra — 'l dìh —	ci andrei proprio volentieri
òstrega! — 'l dìh	ostrega! — dice
— gliùra — 'l dìh — 'à	— allora — dice —
ta dó — 'l dìh —	ti dò
quàter dé	quattro giorni
mìa de piö — 'l dìh — èh!	non di più
mìa de piö!	non di più
al rìa là ala sò cà	arriva a casa sua /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  /  / 
potàna!	puttana!
i maià-a	mangiavano
i bi-ìa	bevevano
i balà-a	ballavano
